Epoch;Composite Loss;PDE Loss;w0 Loss;wx0 Loss;wL Loss;wxxL Loss;wxxxL Loss
191;2,78E-05;1,39E-05;7,30E-06;8,58E-08;5,53E-07;1,96E-07;1,25E-06
192;2,79E-05;1,40E-05;7,27E-06;9,23E-08;5,96E-07;2,18E-07;1,25E-06
193;2,79E-05;1,40E-05;7,24E-06;9,06E-08;5,87E-07;2,38E-07;1,26E-06
194;2,82E-05;1,41E-05;7,22E-06;1,02E-07;6,59E-07;3,20E-07;1,25E-06
195;3,21E-05;1,60E-05;7,26E-06;1,93E-07;1,24E-06;1,51E-06;1,26E-06
196;2,97E-05;1,48E-05;7,25E-06;1,14E-07;7,31E-07;8,87E-07;1,29E-06
197;2,84E-05;1,42E-05;7,29E-06;1,14E-07;7,22E-07;3,60E-07;1,22E-06
198;2,79E-05;1,39E-05;7,24E-06;8,34E-08;5,36E-07;2,57E-07;1,26E-06
199;2,78E-05;1,39E-05;7,22E-06;9,27E-08;5,98E-07;1,89E-07;1,24E-06
200;2,79E-05;1,39E-05;7,19E-06;9,08E-08;5,86E-07;2,40E-07;1,25E-06
